gene	essentiality	ncbi_id
CCKAR	CSEGs	886
CCL16	CSEGs	6360
CCL26	CSEGs	10344
CCL4	CSEGs	6351
CCND1	CEGs	595
CCNI	CSEGs	10983
CCNJ	CSEGs	54619
CCNK	CEGs	8812
CCNT1	CSEGs	904
CCNT2	CSEGs	905
CCP110	CSEGs	9738
CCR1	CSEGs	1230
CCR5	CSEGs	1234
CCR8	CSEGs	1237
CCSER1	CSEGs	401145
CCT3	CEGs	7203
CCT5	CEGs	22948
CCT6A	CEGs	908
CCT6B	CSEGs	10693
CCT7	CEGs	10574
CCT8	CEGs	10694
CD276	CSEGs	80381
CD2AP	CSEGs	23607
CD300A	CSEGs	11314
CD300C	CSEGs	10871
CD300LG	CSEGs	146894
CD37	CSEGs	951
CD47	CSEGs	961
CD48	CSEGs	962
CD52	CSEGs	1043
CD55	CSEGs	1604
CD79A	CSEGs	973
CDC123	CEGs	8872
CDC16	CEGs	8881
CDC20	CEGs	991
CDC23	CEGs	8697
CDC27	CEGs	996
CDC34	CSEGs	997
CDC37	CEGs	11140
CDC37L1	CSEGs	55664
CDC45	CEGs	8318
CDC5L	CEGs	988
CDC6	CEGs	990
CDC7	CEGs	8317
CDC73	CEGs	79577
CDH1	CSEGs	999
CDH12	CSEGs	1010
CDH4	CSEGs	1002
CDHR3	CSEGs	222256
CDK1	CEGs	983
CDK9	CEGs	1025
CDKL4	CSEGs	344387
CDKN1C	CSEGs	1028
CDRT1	CSEGs	374286
CDRT15	CSEGs	146822
CDT1	CEGs	81620
CDX1	CSEGs	1044
CDYL2	CSEGs	124359
CEACAM4	CSEGs	1089
CEACAM6	CSEGs	4680
CEACAM8	CSEGs	1088
CELA1	CSEGs	1990
CELA3A	CSEGs	10136
CENPA	CEGs	1058
CENPM	CEGs	79019
CENPN	CEGs	55839
CENPW	CEGs	387103
CEP170	CSEGs	9859
CEP290	CSEGs	80184
CEP63	CSEGs	80254
CEP85	CSEGs	64793
CERK	CSEGs	64781
CERS3	CSEGs	204219
CERS6	CSEGs	253782
CETN2	CSEGs	1069
CETN3	CSEGs	1070
CFD	CSEGs	1675
CFDP1	CSEGs	10428
CFHR2	CSEGs	3080
CFHR5	CSEGs	81494
CFL2	CSEGs	1073
CH25H	CSEGs	9023
CHAF1A	CEGs	10036
CHAF1B	CEGs	8208
CHCHD1	CSEGs	118487
CHCHD4	CEGs	131474
CHEK1	CEGs	1111
CHFR	CSEGs	55743
CHGA	CSEGs	1113
CHI3L1	CSEGs	1116
CHIA	CSEGs	27159
CHIC2	CSEGs	26511
CHMP1B	CSEGs	57132
CHMP2A	CEGs	27243
CHMP4B	CEGs	128866
CHN2	CSEGs	1124
CHP1	CSEGs	11261
CHRM5	CSEGs	1133
CHST13	CSEGs	166012
CHST4	CSEGs	10164
CHST8	CSEGs	64377
CHTF18	CSEGs	63922
CIITA	CSEGs	4261
CITED2	CSEGs	10370
CKAP5	CEGs	9793
CLCC1	CSEGs	23155
CLDN6	CSEGs	9074
CLDND2	CSEGs	125875
CLEC18C	CSEGs	283971
CLEC2B	CSEGs	9976
CLEC4A	CSEGs	50856
CLEC4E	CSEGs	26253
CLECL1	CSEGs	160365
CLGN	CSEGs	1047
CLIP3	CSEGs	25999
CLP1	CEGs	10978
CLSTN1	CSEGs	22883
CMAS	CSEGs	55907
CMPK2	CSEGs	129607
CMSS1	CSEGs	84319
CNFN	CSEGs	84518
CNGA4	CSEGs	1262
CNOT2	CSEGs	4848
CNTF	CSEGs	1270
CNTLN	CSEGs	54875
CNTN5	CSEGs	53942
COA1	CSEGs	55744
COL26A1	CSEGs	136227
COL4A2	CSEGs	1284
COLGALT2	CSEGs	23127
COMMD9	CSEGs	29099
COMT	CSEGs	1312
COPA	CEGs	1314
COPB1	CEGs	1315
COPB2	CEGs	9276
COPE	CEGs	11316
COPRS	CSEGs	55352
COPS2	CEGs	9318
COPS5	CEGs	10987
COPS6	CEGs	10980
COPZ1	CEGs	22818
COQ3	CSEGs	51805
COQ5	CSEGs	84274
CORO1C	CSEGs	23603
COX15	CSEGs	1355
COX4I2	CSEGs	84701
COX8C	CSEGs	341947
CPA3	CSEGs	1359
CPNE6	CSEGs	9362
CPSF2	CEGs	53981
CPSF3	CEGs	51692
CPXM2	CSEGs	119587
CRABP2	CSEGs	1382
CRAT	CSEGs	1384
CRB1	CSEGs	23418
CREBL2	CSEGs	1389
CREG2	CSEGs	200407
CREM	CSEGs	1390
CRISP2	CSEGs	7180
CRLF2	CSEGs	64109
CRNKL1	CEGs	51340
CROCC	CSEGs	9696
CRTAM	CSEGs	56253
CRYGC	CSEGs	1420
CRYGS	CSEGs	1427
CSE1L	CEGs	1434
CSGALNACT2	CSEGs	55454
CSNK1A1L	CSEGs	122011
CSPP1	CSEGs	79848
CSRNP3	CSEGs	80034
CST4	CSEGs	1472
CST7	CSEGs	8530
CST9L	CSEGs	128821
CSTF3	CEGs	1479
CTCF	CEGs	10664
CTDP1	CEGs	9150
CTDSP2	CSEGs	10106
CTH	CSEGs	1491
CTNND1	CSEGs	1500
CTRB1	CSEGs	1504
CTRB2	CSEGs	440387
CTSL3P	CSEGs	392360
CTTN	CSEGs	2017
CUL4A	CSEGs	8451
CUL7	CSEGs	9820
CWC22	CEGs	57703
CWC25	CSEGs	54883
CXADR	CSEGs	1525
CXXC5	CSEGs	51523
CXorf40A	CSEGs	91966
CYB561A3	CSEGs	220002
CYP11B2	CSEGs	1585
CYP27A1	CSEGs	1593
CYP2E1	CSEGs	1571
CYP39A1	CSEGs	51302
CYP3A4	CSEGs	1576
CYP3A7	CSEGs	1551
CYP4F22	CSEGs	126410
CYP7A1	CSEGs	1581
CYSLTR2	CSEGs	57105
DAB2	CSEGs	1601
DAD1	CEGs	1603
DBI	CSEGs	1622
DBN1	CSEGs	1627
DBNDD2	CSEGs	55861
DBNL	CSEGs	28988
DCAF4L2	CSEGs	138009
DCAF8L1	CSEGs	139425
DCLK3	CSEGs	85443
DCTPP1	CSEGs	79077
DCUN1D5	CSEGs	84259
DDB1	CEGs	1642
DDHD1	CSEGs	80821
DDI1	CSEGs	414301
DDOST	CEGs	1650
DDX10	CEGs	1662
DDX18	CEGs	8886
DDX20	CEGs	11218
DDX28	CSEGs	55794
DDX31	CSEGs	64794
DDX41	CEGs	51428
DDX47	CEGs	51202
DDX49	CEGs	54555
DDX54	CEGs	79039
DDX56	CEGs	54606
DDX59	CEGs	83479
DEFB108B	CSEGs	245911
DEFB118	CSEGs	117285
DEFB121	CSEGs	245934
DEFB128	CSEGs	245939
DEFB4B	CSEGs	100289462
DEPDC1B	CSEGs	55789
DEPDC5	CSEGs	9681
DEPDC7	CSEGs	91614
DET1	CSEGs	55070
DGCR6L	CSEGs	85359
DHDDS	CEGs	79947
DHRS2	CSEGs	10202
DHX15	CEGs	1665
DHX16	CEGs	8449
DHX37	CEGs	57647
DHX40	CSEGs	79665
DHX8	CEGs	1659
DHX9	CEGs	1660
DIMT1	CEGs	27292
DIRAS1	CSEGs	148252
DIS3L2	CSEGs	129563
DKC1	CEGs	1736
DLEC1	CSEGs	9940
DLEU7	CSEGs	220107
DLL4	CSEGs	54567
DMRTB1	CSEGs	63948
DMTN	CSEGs	2039
