HUMAN34609	WIGBR00337	1:1	1125781
HUMAN35035	WIGBR00570	n:1	
HUMAN36790	WIGBR00221	n:1	
HUMAN37130	WIGBR00079	n:1	1146880
HUMAN37408	WIGBR00320	1:1	1177779
HUMAN37666	WIGBR00285	n:1	1162138
HUMAN38294	WIGBR00006	1:1	
HUMAN39657	WIGBR00398	n:1	988160
HUMAN40103	WIGBR00155	1:1	979026
HUMAN41780	WIGBR00012	1:1	1184820
HUMAN42527	WIGBR00598	1:1	1008242
HUMAN42743	WIGBR00108	n:1	
HUMAN43319	WIGBR00489	n:1	
HUMAN46797	WIGBR00309	1:1	1173051
HUMAN46850	WIGBR00084	1:1	1106506
HUMAN47307	WIGBR00353	n:1	1187223
HUMAN47760	WIGBR00420	1:1	1108607
HUMAN48272	WIGBR00387	1:1	1187642
HUMAN48337	WIGBR00377	1:1	
HUMAN48739	WIGBR00528	n:1	
HUMAN49134	WIGBR00354	n:1	1187963
HUMAN49537	WIGBR00508	1:1	923644
HUMAN49590	WIGBR00487	n:1	
HUMAN49764	WIGBR00528	n:1	
HUMAN50227	WIGBR00425	n:1	
HUMAN50919	WIGBR00322	1:m	
HUMAN50919	WIGBR00418	1:m	
HUMAN51114	WIGBR00489	n:1	1147175
HUMAN51537	WIGBR00581	1:1	1178583
HUMAN52550	WIGBR00136	n:1	
HUMAN53622	WIGBR00113	1:1	
HUMAN53660	WIGBR00556	1:1	1184505
HUMAN53830	WIGBR00331	n:1	
HUMAN54683	WIGBR00096	1:1	
HUMAN54782	WIGBR00294	1:1	639907
HUMAN54942	WIGBR00079	n:1	
HUMAN55065	WIGBR00406	1:1	680913
HUMAN55124	WIGBR00219	n:m	
HUMAN55124	WIGBR00220	n:m	
HUMAN55124	WIGBR00254	n:m	681109
HUMAN55262	WIGBR00478	1:1	
HUMAN55417	WIGBR00341	1:1	1185694
HUMAN55484	WIGBR00179	n:1	1182027
HUMAN56121	WIGBR00454	n:1	
HUMAN56751	WIGBR00284	1:1	
HUMAN57507	WIGBR00159	1:1	
HUMAN57788	WIGBR00475	1:1	1188320
HUMAN60093	WIGBR00428	1:1	1071779
HUMAN60453	WIGBR00454	n:1	
HUMAN60756	WIGBR00432	1:1	974825
HUMAN60939	WIGBR00090	1:1	680922
HUMAN61091	WIGBR00104	1:1	1185372
HUMAN62770	WIGBR00222	1:1	1189138
HUMAN63068	WIGBR00011	n:1	923412
HUMAN63163	WIGBR00057	n:1	
HUMAN63311	WIGBR00242	n:1	1185504
HUMAN63501	WIGBR00416	1:1	1187366
HUMAN63556	WIGBR00316	n:1	1177620
